id,timestamp,serial_number,latitude,longitude,car_count,traffic_speed,traffic_density,pedestrian_count,pedestrian_density,ambient_light,lighting_class,lamp_power,weather,dimming_level,computed_dimming_level,corrected_dimming_level
7933,2025-03-02T00:00:00,ai_model_for_test,47.22486,39.702285,9,24.38,0.11,0,0.0,151.0,B1,75.0,rain,50.0,,71.0
7934,2025-03-02T01:00:00,ai_model_for_test,47.22486,39.702285,7,30.23,0.09,2,0.05,98.0,B1,75.0,rain,50.0,,77.0
7935,2025-03-02T02:00:00,ai_model_for_test,47.22486,39.702285,5,21.39,0.06,0,0.0,79.0,B1,75.0,rain,50.0,,75.0
7936,2025-03-02T03:00:00,ai_model_for_test,47.22486,39.702285,4,23.99,0.05,0,0.0,20.0,B1,75.0,rain,50.0,,74.0
7937,2025-03-02T04:00:00,ai_model_for_test,47.22486,39.702285,1,11.5,0.01,2,0.05,7.0,B1,75.0,rain,50.0,,69.0
7938,2025-03-02T05:00:00,ai_model_for_test,47.22486,39.702285,3,20.3,0.04,0,0.0,67.0,B1,103.5,rain,69.0,,72.0
7939,2025-03-02T06:00:00,ai_model_for_test,47.22486,39.702285,19,33.27,0.24,9,0.23,7194.0,B1,108.0,rain,72.0,,39.0
7940,2025-03-02T07:00:00,ai_model_for_test,47.22486,39.702285,50,25.51,0.62,14,0.35,5627.0,B1,58.5,rain,39.0,,50.0
7941,2025-03-02T08:00:00,ai_model_for_test,47.22486,39.702285,66,33.21,0.82,18,0.45,5940.0,B1,75.0,rain,50.0,,56.0
7942,2025-03-02T09:00:00,ai_model_for_test,47.22486,39.702285,69,21.31,0.86,6,0.15,15601.0,B1,84.0,rain,56.0,,14.0
7943,2025-03-02T10:00:00,ai_model_for_test,47.22486,39.702285,16,41.6,0.2,7,0.17,30106.0,B1,21.0,rain,14.0,,0.0
7944,2025-03-02T11:00:00,ai_model_for_test,47.22486,39.702285,22,38.7,0.28,6,0.15,36151.0,B1,0.0,rain,0.0,,0.0
7945,2025-03-02T12:00:00,ai_model_for_test,47.22486,39.702285,30,34.61,0.38,9,0.23,42252.0,B1,0.0,rain,0.0,,0.0
7946,2025-03-02T13:00:00,ai_model_for_test,47.22486,39.702285,20,14.01,0.25,6,0.15,65154.0,B1,0.0,rain,0.0,,0.0
7947,2025-03-02T14:00:00,ai_model_for_test,47.22486,39.702285,32,11.33,0.4,2,0.05,72459.0,B1,0.0,rain,0.0,,0.0
7948,2025-03-02T15:00:00,ai_model_for_test,47.22486,39.702285,27,25.23,0.34,6,0.15,36272.0,B1,0.0,rain,0.0,,0.0
7949,2025-03-02T16:00:00,ai_model_for_test,47.22486,39.702285,9,35.18,0.11,4,0.1,11302.0,B1,0.0,rain,0.0,,23.0
7950,2025-03-02T17:00:00,ai_model_for_test,47.22486,39.702285,68,26.45,0.85,7,0.17,6063.0,B1,34.5,rain,23.0,,97.0
7951,2025-03-02T18:00:00,ai_model_for_test,47.22486,39.702285,51,33.03,0.64,12,0.3,1707.0,B1,145.5,rain,97.0,,89.0
